id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
HB,2007,0,89,133,99.2,0,2,investigative,1,4.890349128,RR,RR,low,0,2.295032208,0,-1.80019327,9,1,0,0,1,0,6.819332566,0,0
HB,2008,0,89,328,86.9,0,4,social,2,5.793013608,RR,RR,low,0,1.638270308,0.693147181,-1.10704609,9,2,0,0,1,0,7.819332566,0,0
HB,2008,0,89,328,86.9,0,3,self-directed,2,5.793013608,RR,RR,low,0,1.638270308,0.693147181,-1.10704609,9,2,0,0,1,0,7.819332566,0,0
HB,2008,0,89,328,86.9,0,1,foraging,2,5.793013608,RR,RR,low,0,1.638270308,0.693147181,-1.10704609,9,2,0,0,1,0,7.819332566,0,0
HB,2008,0,89,328,86.9,0,2,investigative,2,5.793013608,RR,RR,low,0,1.638270308,0.693147181,-1.10704609,9,2,0,0,1,0,7.819332566,0,0
HB,2009,0,89,384,71.2,0,3,self-directed,3,5.950642553,RR,RR,low,0,0.799964468,1.098612289,-0.701580981,9,3,0,0,1,0,7.819332566,0,0
HB,2009,0,89,384,71.2,0,2,investigative,3,5.950642553,RR,RR,low,0,0.799964468,1.098612289,-0.701580981,9,3,0,0,1,0,7.819332566,0,0
HB,2009,0,89,384,71.2,0,1,foraging,3,5.950642553,RR,RR,low,0,0.799964468,1.098612289,-0.701580981,9,3,0,0,1,0,7.819332566,0,0
HB,2009,0,89,384,71.2,0,4,social,3,5.950642553,RR,RR,low,0,0.799964468,1.098612289,-0.701580981,9,3,0,0,1,0,7.819332566,0,0
HB,2010,0,89,297,64.9,0,3,self-directed,4,5.693732139,RR,RR,low,0,0.463574226,1.386294361,-0.413898909,9,4,0,0,1,0,10.81933257,0,0
HB,2010,0,89,297,64.9,0,1,foraging,4,5.693732139,RR,RR,low,0,0.463574226,1.386294361,-0.413898909,9,4,0,0,1,0,10.81933257,0,0
HB,2010,0,89,297,64.9,0,4,social,4,5.693732139,RR,RR,low,0,0.463574226,1.386294361,-0.413898909,9,4,0,0,1,0,10.81933257,0,0
HB,2010,0,89,297,64.9,0,2,investigative,4,5.693732139,RR,RR,low,0,0.463574226,1.386294361,-0.413898909,9,4,0,0,1,0,10.81933257,0,0
HB,2011,0,89,232,64.7,0,2,investigative,5,5.446737372,RR,RR,mid,0,0.452895171,1.609437912,-0.190755358,9,5,0,1,0,0,2.819332566,0,0
HB,2011,0,89,232,64.7,0,1,foraging,5,5.446737372,RR,RR,mid,0,0.452895171,1.609437912,-0.190755358,9,5,0,1,0,0,2.819332566,0,0
HB,2011,0,89,232,64.7,0,4,social,5,5.446737372,RR,RR,mid,0,0.452895171,1.609437912,-0.190755358,9,5,0,1,0,0,2.819332566,0,0
HB,2011,0,89,232,64.7,0,3,self-directed,5,5.446737372,RR,RR,mid,0,0.452895171,1.609437912,-0.190755358,9,5,0,1,0,0,2.819332566,0,0
HC,2007,1,90,356,63.7,0,1,foraging,3,5.874930731,RR,RR,low,0,0.399499894,1.098612289,-0.701580981,9,1,0,0,1,0,6.819332566,0,0
HC,2007,1,90,356,63.7,0,2,investigative,3,5.874930731,RR,RR,low,0,0.399499894,1.098612289,-0.701580981,9,1,0,0,1,0,6.819332566,0,0
HC,2007,1,90,356,63.7,0,4,social,3,5.874930731,RR,RR,low,0,0.399499894,1.098612289,-0.701580981,9,1,0,0,1,0,6.819332566,0,0
HC,2007,1,90,356,63.7,0,3,self-directed,3,5.874930731,RR,RR,low,0,0.399499894,1.098612289,-0.701580981,9,1,0,0,1,0,6.819332566,0,0
HC,2008,1,90,377,58.2,0,4,social,4,5.932245187,RR,RR,low,0,0.105825874,1.386294361,-0.413898909,9,2,0,0,1,0,7.819332566,0,0
HC,2008,1,90,377,58.2,0,3,self-directed,4,5.932245187,RR,RR,low,0,0.105825874,1.386294361,-0.413898909,9,2,0,0,1,0,7.819332566,0,0
